week,PSA,BURGLARY
1,104,2
1,108,1
1,203,1
1,204,1
1,207,1
1,208,1
1,305,1
1,308,2
1,401,1
1,404,3
1,405,1
1,409,1
1,501,1
1,502,1
1,506,1
1,507,1
1,601,1
1,602,1
1,603,3
1,604,3
1,703,2
1,704,1
1,708,1
2,105,1
2,202,2
2,205,1
2,208,1
2,302,1
2,306,1
2,307,2
2,404,1
2,502,2
2,503,1
2,603,6
2,604,1
2,702,1
2,705,1
2,708,1
3,101,1
3,104,1
3,105,1
3,107,2
3,201,1
3,204,1
3,205,1
3,207,1
3,208,2
3,302,1
3,305,1
3,307,3
3,308,1
3,401,1
3,403,1
3,404,1
3,405,1
3,406,1
3,501,1
3,503,2
3,504,1
3,505,2
3,506,2
3,507,1
3,602,1
3,604,1
3,608,1
3,701,1
3,703,1
3,706,1
4,104,1
4,106,1
4,201,2
4,203,1
4,206,1
4,208,2
4,301,2
4,304,1
4,305,1
4,307,2
4,308,1
4,403,1
4,404,1
4,405,1
4,408,1
4,501,1
4,502,1
4,506,1
4,507,3
4,602,1
4,603,1
4,606,1
4,607,2
4,608,1
4,703,1
4,704,1
5,101,1
5,103,1
5,104,1
5,107,1
5,201,2
5,203,3
5,205,1
5,206,1
5,207,1
5,208,3
5,302,3
5,303,3
5,304,2
5,307,1
5,308,2
5,401,1
5,402,1
5,403,1
5,404,4
5,405,3
5,407,1
5,409,1
5,502,1
5,503,1
5,504,1
5,505,1
5,506,4
5,601,1
5,602,2
5,603,2
5,604,1
5,605,3
5,607,2
5,702,1
5,704,1
5,708,1
6,104,2
6,201,1
6,207,2
6,208,1
6,301,2
6,303,2
6,304,1
6,305,1
6,307,2
6,401,1
6,402,1
6,403,1
6,404,2
6,405,1
6,408,1
6,501,2
6,502,1
6,503,1
6,504,1
6,506,1
6,507,2
6,603,1
6,606,1
6,607,1
6,608,1
6,702,1
6,703,3
6,706,1
6,707,1
6,708,1
7,102,1
7,106,1
7,107,1
7,108,4
7,205,1
7,207,1
7,208,4
7,301,1
7,302,2
7,303,2
7,305,3
7,407,2
7,409,1
7,506,3
7,606,1
7,701,1
7,702,1
7,703,1
7,707,1
8,103,1
8,105,2
8,106,1
8,107,2
8,108,1
8,208,3
8,302,1
8,305,2
8,307,4
8,308,1
8,404,1
8,407,1
8,409,2
8,505,2
8,506,1
8,507,1
8,603,1
8,604,3
8,605,1
8,701,3
8,703,3
8,704,2
8,706,3
8,707,1
8,708,4
9,103,1
9,104,3
9,105,2
9,106,2
9,202,1
9,203,1
9,204,1
9,205,1
9,206,2
9,207,1
9,208,2
9,302,3
9,307,1
9,308,2
9,401,1
9,406,1
9,407,2
9,409,3
9,502,2
9,506,1
9,507,1
9,601,1
9,602,2
9,603,1
9,604,1
9,606,1
9,607,1
9,608,1
9,703,2
9,704,2
9,706,2
9,708,1
10,101,1
10,102,2
10,103,1
10,106,1
10,107,1
10,108,1
10,202,1
10,205,1
10,206,2
10,301,1
10,302,1
10,303,2
10,305,3
10,401,1
10,403,1
10,405,2
10,407,1
10,409,5
10,502,1
10,506,2
10,507,1
10,602,4
10,603,1
10,604,3
10,608,1
10,702,1
10,703,1
10,704,6
10,706,3
10,708,1
11,102,1
11,107,1
11,201,1
11,204,2
11,206,1
11,208,1
11,301,1
11,303,5
11,305,2
11,402,1
11,403,2
11,407,4
11,408,1
11,409,2
11,501,1
11,503,1
11,601,1
11,603,4
11,604,2
11,607,1
11,608,2
11,702,2
11,704,1
11,705,1
11,707,1
11,708,1
12,103,1
12,106,1
12,108,2
12,202,2
12,208,3
12,301,2
12,302,1
12,303,3
12,305,3
12,402,1
12,404,2
12,407,1
12,408,1
12,501,1
12,502,3
12,503,2
12,505,1
12,506,1
12,507,8
12,602,1
12,603,2
12,604,1
12,605,2
12,606,1
12,607,3
12,608,1
12,701,3
12,702,3
12,704,2
12,705,1
13,105,1
13,107,1
13,202,1
13,203,1
13,207,4
13,208,1
13,303,2
13,305,1
13,307,1
13,402,1
13,403,1
13,407,1
13,408,1
13,409,2
13,503,1
13,504,1
13,507,2
13,602,1
13,604,3
13,605,1
13,606,3
13,607,1
13,608,1
13,701,1
13,702,1
13,703,1
13,704,1
13,706,1
14,102,1
14,108,1
14,202,1
14,207,1
14,208,1
14,301,1
14,303,3
14,305,1
14,307,2
14,403,1
14,502,1
14,503,1
14,505,1
14,703,2
14,706,1