week,PSA,MOTOR VEHICLE THEFT
1,101,1
1,104,1
1,106,2
1,205,2
1,206,1
1,207,1
1,308,1
1,401,2
1,403,1
1,404,1
1,407,1
1,502,1
1,503,1
1,505,1
1,602,2
1,603,5
1,604,2
1,605,2
1,702,1
2,101,2
2,103,2
2,204,2
2,207,1
2,208,1
2,303,1
2,304,2
2,305,3
2,307,1
2,308,1
2,405,1
2,409,1
2,504,1
2,506,1
2,602,2
2,603,1
2,703,2
2,704,1
2,705,1
2,706,6
3,104,2
3,105,1
3,107,1
3,108,1
3,203,1
3,204,1
3,207,1
3,208,1
3,301,1
3,302,1
3,304,2
3,307,1
3,402,1
3,403,1
3,405,3
3,502,2
3,503,1
3,505,2
3,507,1
3,601,1
3,602,3
3,603,3
3,604,2
3,605,3
3,608,3
3,701,1
3,702,2
3,704,3
3,706,2
4,101,2
4,103,1
4,105,3
4,108,2
4,206,1
4,208,2
4,302,3
4,304,1
4,308,2
4,401,2
4,405,1
4,409,1
4,501,1
4,503,1
4,506,1
4,507,2
4,603,2
4,604,1
4,605,4
4,607,1
4,702,1
4,704,1
4,706,3
5,103,1
5,104,2
5,105,1
5,106,1
5,108,2
5,207,1
5,208,1
5,303,1
5,305,2
5,306,1
5,308,1
5,402,1
5,403,1
5,405,2
5,406,1
5,502,2
5,504,2
5,506,1
5,601,2
5,602,2
5,603,2
5,604,3
5,607,1
5,701,1
5,704,1
5,705,1
5,707,1
5,708,1
6,101,1
6,103,1
6,104,1
6,107,1
6,108,1
6,206,1
6,207,1
6,301,1
6,302,2
6,304,2
6,403,1
6,407,1
6,501,2
6,502,1
6,503,2
6,504,1
6,505,1
6,602,2
6,604,1
6,605,3
6,606,1
6,608,2
6,703,2
6,706,1
6,708,1
7,103,1
7,105,1
7,106,1
7,108,1
7,203,1
7,204,1
7,208,1
7,302,1
7,304,1
7,401,2
7,402,1
7,403,1
7,404,4
7,405,3
7,501,1
7,502,1
7,504,3
7,506,3
7,602,2
7,603,1
7,604,3
7,605,3
7,608,3
7,701,1
7,703,1
7,704,2
7,706,1
8,103,1
8,104,2
8,105,1
8,106,1
8,107,1
8,203,1
8,204,1
8,205,1
8,206,1
8,301,1
8,304,3
8,305,2
8,401,1
8,405,1
8,503,1
8,505,1
8,507,2
8,602,1
8,603,3
8,604,2
8,605,1
8,606,1
8,607,1
8,702,1
8,703,1
8,704,1
8,707,1
8,708,1
9,103,1
9,104,1
9,105,3
9,106,1
9,107,1
9,108,1
9,203,2
9,206,1
9,208,1
9,301,1
9,303,1
9,304,2
9,306,1
9,402,2
9,403,1
9,404,2
9,405,1
9,406,1
9,407,2
9,502,1
9,503,1
9,601,3
9,602,1
9,604,4
9,605,2
9,608,2
9,702,1
9,703,1
9,704,2
9,708,1
10,103,2
10,104,1
10,106,1
10,201,1
10,203,1
10,204,1
10,206,1
10,207,2
10,208,1
10,301,2
10,303,2
10,305,1
10,403,5
10,404,2
10,501,1
10,502,2
10,503,2
10,505,2
10,506,1
10,507,1
10,601,2
10,602,4
10,604,2
10,607,1
10,608,2
10,701,3
10,705,1
10,708,1
11,103,1
11,104,2
11,105,2
11,106,1
11,201,1
11,207,1
11,304,2
11,305,1
11,306,1
11,308,1
11,402,1
11,403,1
11,404,1
11,502,1
11,503,5
11,504,2
11,506,3
11,507,2
11,601,1
11,602,2
11,603,1
11,604,1
11,605,2
11,606,4
11,607,1
11,608,2
11,701,3
11,703,1
11,704,2
11,706,1
12,102,2
12,104,1
12,105,1
12,106,2
12,107,1
12,201,1
12,202,1
12,206,1
12,207,1
12,301,1
12,302,1
12,304,2
12,306,1
12,401,1
12,402,2
12,403,2
12,404,4
12,405,1
12,407,2
12,409,1
12,502,2
12,503,1
12,504,2
12,505,2
12,507,3
12,601,2
12,602,3
12,603,2
12,604,1
12,605,1
12,606,1
12,608,1
12,701,1
12,702,2
12,703,1
12,704,2
12,706,1
12,707,1
12,708,3
13,101,1
13,104,1
13,105,1
13,203,1
13,204,3
13,206,1
13,303,2
13,304,1
13,305,2
13,307,1
13,308,3
13,401,1
13,404,2
13,405,1
13,407,4
13,409,2
13,501,1
13,502,1
13,503,1
13,504,1
13,505,1
13,506,2
13,507,2
13,602,5
13,603,1
13,604,2
13,605,1
13,606,2
13,607,1
13,608,2
13,701,1
13,703,2
13,704,2
13,705,1
13,706,4
13,708,1
14,103,1
14,106,1
14,207,1
14,208,1
14,306,2
14,401,1
14,407,2
14,502,1
14,504,1
14,505,1
14,506,1
14,601,1
14,602,1
14,603,2
14,606,1
14,704,1
14,708,1