week,PSA,ROBBERY
1,302,1
2,302,4
2,303,1
2,304,2
2,305,2
2,308,1
3,302,1
3,303,1
3,305,2
3,306,1
3,308,1
4,304,1
4,306,2
5,302,3
5,303,1
5,304,3
5,307,1
5,308,2
6,302,2
6,305,1
6,307,1
7,301,1
7,302,3
7,303,1
7,305,2
7,306,3
8,302,4
8,304,1
8,306,1
8,307,1
9,301,1
9,302,1
9,304,2
9,305,1
9,307,1
10,302,2
10,303,2
10,304,1
10,305,2
10,306,1
10,307,2
10,308,1
11,302,6
11,303,1
11,305,2
12,303,1
12,305,3
12,306,2
12,307,3
12,308,2
13,302,5
13,305,2
14,301,1
14,302,2
14,303,1
14,304,2
14,305,1
14,306,1
14,307,2
14,308,2