week,PSA,THEFT/OTHER
1,301,3
1,302,3
1,304,4
1,305,2
1,306,2
1,307,5
1,308,1
2,301,5
2,302,17
2,303,5
2,304,5
2,305,5
2,306,2
2,307,7
2,308,2
3,301,6
3,302,12
3,303,7
3,304,3
3,305,3
3,307,3
3,308,3
4,301,5
4,302,10
4,303,7
4,304,4
4,305,6
4,306,2
4,307,4
4,308,1
5,301,5
5,302,11
5,303,7
5,304,8
5,305,9
5,306,4
5,307,5
5,308,1
6,301,6
6,302,10
6,303,6
6,304,3
6,305,4
6,306,4
6,307,12
6,308,1
7,301,4
7,302,9
7,303,6
7,304,9
7,305,3
7,306,3
7,308,1
8,301,7
8,302,19
8,303,10
8,304,3
8,305,5
8,306,5
8,307,4
9,301,5
9,302,16
9,303,6
9,304,4
9,305,3
9,306,2
9,307,7
9,308,4
10,301,3
10,302,8
10,303,7
10,304,6
10,305,7
10,306,1
10,307,2
10,308,2
11,301,9
11,302,8
11,303,6
11,304,2
11,305,7
11,306,1
11,307,2
11,308,1
12,301,5
12,302,12
12,303,8
12,304,3
12,305,3
12,306,1
12,307,2
12,308,2
13,301,3
13,302,9
13,303,7
13,304,3
13,305,5
13,307,2
13,308,3
14,302,5
14,303,4
14,304,4
14,305,5
14,306,2
14,307,5
14,308,5